SABRE,qiskit_lib_300.qasm,condor.txt,300,15831,24490,96175,395824,318590,265064,518270,2788603,2170390,2093156,591522,14,108.15034294128418,2107728
SABRE,qiskit_lib_400.qasm,condor.txt,400,21131,32690,128375,650524,545890,432757,850985,4604615,3957913,3853279,1102463,14,197.78461408615112,3582160
SABRE,qiskit_lib_500.qasm,condor.txt,500,26431,40890,160575,965224,833190,542040,1063243,5739075,6075568,5943534,1703448,14,318.3428053855896,4757176
SABRE,qiskit_lib_100.qasm,condor.txt,100,5231,8090,31775,66424,43990,43106,82415,433227,242644,220210,58740,15,13.63636302947998,510496
SABRE,qiskit_lib_200.qasm,condor.txt,200,10531,16290,63975,201124,151290,133920,259220,1380894,965026,915192,254634,15,47.16100215911865,1175008
SABRE,qiskit_lib_300.qasm,condor.txt,300,15831,24490,96175,395824,318590,263964,515120,2765795,2196568,2119334,600248,15,112.79005336761475,2131628
SABRE,qiskit_lib_400.qasm,condor.txt,400,21131,32690,128375,650524,545890,440607,864515,4668977,3936340,3831706,1095272,15,195.1656641960144,3571384
SABRE,qiskit_lib_500.qasm,condor.txt,500,26431,40890,160575,965224,833190,553094,1084930,5856778,6023818,5891784,1686198,15,309.4905459880829,4886920
SABRE,qiskit_lib_100.qasm,condor.txt,100,5231,8090,31775,66424,43990,46388,88187,461345,243160,220726,58912,16,12.50370478630066,511148
SABRE,qiskit_lib_200.qasm,condor.txt,200,10531,16290,63975,201124,151290,123677,239231,1273963,934456,884622,244444,16,46.73135280609131,1184932
SABRE,qiskit_lib_300.qasm,condor.txt,300,15831,24490,96175,395824,318590,280977,548717,2948740,2186608,2109374,596928,16,108.30392384529114,2094920
SABRE,qiskit_lib_400.qasm,condor.txt,400,21131,32690,128375,650524,545890,390054,764834,4127023,3918364,3813730,1089280,16,196.3137013912201,3559328
SABRE,qiskit_lib_500.qasm,condor.txt,500,26431,40890,160575,965224,833190,581233,1141705,6171386,6185980,6053946,1740252,16,312.62255001068115,4814064
SABRE,qiskit_lib_100.qasm,condor.txt,100,5231,8090,31775,66424,43990,41689,79514,417174,246088,223654,59888,17,12.715267419815063,511636
